Timestamps,Predicted_Revenue
2023-09-04,55915220.0
2023-09-11,39661450.0
2023-09-18,40609188.0
2023-09-25,50297144.0
2023-10-02,53015440.0
2023-10-09,49637324.0
2023-10-16,48790200.0
2023-10-23,54574068.0
2023-10-30,67082530.0
2023-11-06,53575388.0
2023-11-13,59024156.0
2023-11-20,60853524.0
2023-11-27,49218388.0
2023-12-04,38728470.0
2023-12-11,30290984.0
2023-12-18,42782176.0
2023-12-25,37237332.0
2024-01-01,51454336.0
2024-01-08,64795930.0
2024-01-15,40878944.0
2024-01-22,73019210.0
2024-01-29,73725600.0
2024-02-05,71034450.0
2024-02-12,72148930.0
2024-02-19,84019630.0
2024-02-26,71140450.0
2024-03-04,61812024.0
2024-03-11,65298230.0
2024-03-18,60617756.0
