Timestamps,Predicted_Revenue
2023-09-04,31797020.0
2023-09-11,56496240.0
2023-09-18,41486876.0
2023-09-25,68824410.0
2023-10-02,82601304.0
2023-10-09,66679684.0
2023-10-16,63288496.0
2023-10-23,76945210.0
2023-10-30,51818070.0
2023-11-06,62977300.0
2023-11-13,56013972.0
2023-11-20,49596092.0
2023-11-27,45938010.0
2023-12-04,63557690.0
2023-12-11,59898730.0
2023-12-18,63432330.0
2023-12-25,57137012.0
2024-01-01,53731056.0
2024-01-08,48402690.0
2024-01-15,62543452.0
2024-01-22,79162660.0
2024-01-29,58214852.0
2024-02-05,86436720.0
2024-02-12,95549310.0
2024-02-19,57066096.0
2024-02-26,119412520.0
2024-03-04,45188788.0
2024-03-11,86180340.0
2024-03-18,90190570.0
