Timestamps,Predicted_Revenue
2023-09-04,65814188.0
2023-09-11,69337630.0
2023-09-18,66479660.0
2023-09-25,63610796.0
2023-10-02,67279560.0
2023-10-09,68755940.0
2023-10-16,69637310.0
2023-10-23,70794360.0
2023-10-30,69691176.0
2023-11-06,69141910.0
2023-11-13,71530056.0
2023-11-20,82122100.0
2023-11-27,85880430.0
2023-12-04,83448010.0
2023-12-11,77478776.0
2023-12-18,77074810.0
2023-12-25,74574340.0
2024-01-01,71581900.0
2024-01-08,71339630.0
2024-01-15,72997580.0
2024-01-22,73010240.0
2024-01-29,71938584.0
2024-02-05,67243730.0
2024-02-12,67665144.0
2024-02-19,68861210.0
2024-02-26,68584130.0
2024-03-04,66566436.0
2024-03-11,61295390.0
2024-03-18,61952012.0
