Timestamps,Predicted_Revenue
2023-09-04,34739780.0
2023-09-11,97342424.0
2023-09-18,161688430.0
2023-09-25,180099420.0
2023-10-02,68264200.0
2023-10-09,106435140.0
2023-10-16,103316690.0
2023-10-23,86736010.0
2023-10-30,8305323.0
2023-11-06,94595384.0
2023-11-13,26819332.0
2023-11-20,12962459.0
2023-11-27,42307336.0
2023-12-04,36117320.0
2023-12-11,156513900.0
2023-12-18,112407260.0
2023-12-25,108446090.0
2024-01-01,112173150.0
2024-01-08,140693570.0
2024-01-15,160186180.0
2024-01-22,60497016.0
2024-01-29,94150170.0
2024-02-05,110879016.0
2024-02-12,135076930.0
2024-02-19,76549070.0
2024-02-26,61472412.0
2024-03-04,224238180.0
2024-03-11,155355380.0
2024-03-18,101898824.0
