Timestamps,Predicted_Revenue
2023-09-04,59652000.0
2023-09-11,59888856.0
2023-09-18,59545084.0
2023-09-25,59721040.0
2023-10-02,59754332.0
2023-10-09,59664000.0
2023-10-16,60626216.0
2023-10-23,60413308.0
2023-10-30,59418076.0
2023-11-06,59089536.0
2023-11-13,59317300.0
2023-11-20,58961868.0
2023-11-27,57998264.0
2023-12-04,58033740.0
2023-12-11,57506700.0
2023-12-18,57742060.0
2023-12-25,58256600.0
2024-01-01,57997948.0
2024-01-08,58125920.0
2024-01-15,57862550.0
2024-01-22,58402240.0
2024-01-29,57697656.0
2024-02-05,56968056.0
2024-02-12,56448496.0
2024-02-19,59563060.0
2024-02-26,56483268.0
2024-03-04,58069190.0
2024-03-11,58706230.0
2024-03-18,59116960.0
